mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svr__C,param_svr__epsilon,param_svr__gamma,param_svr__kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
11.535108168919882,0.8029710601319657,11.494613329569498,0.07371786592460663,0.1,0.01,scale,rbf,"{'svr__C': 0.1, 'svr__epsilon': 0.01, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",0.45848900457118635,0.9904867039725903,-1.1491693202959588,0.09993546274927263,0.9095612338968544,21
8.962602059046427,0.4306613888203519,1.8301228682200115,0.11432613411478962,0.1,0.01,scale,linear,"{'svr__C': 0.1, 'svr__epsilon': 0.01, 'svr__gamma': 'scale', 'svr__kernel': 'linear'}",0.9999264074812293,0.9997253498922871,0.9999333278895622,0.9998616950876928,9.645199927269911e-05,9
12.01013978322347,0.10725869299133575,13.018721580505371,1.0980983213499569,0.1,0.01,auto,rbf,"{'svr__C': 0.1, 'svr__epsilon': 0.01, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",0.45848900457118624,0.9904867039725903,-1.1491693202959588,0.09993546274927256,0.9095612338968545,22
9.080275774002075,0.2816574373119072,1.8341232935587566,0.10047544735398545,0.1,0.01,auto,linear,"{'svr__C': 0.1, 'svr__epsilon': 0.01, 'svr__gamma': 'auto', 'svr__kernel': 'linear'}",0.9999264074812293,0.9997253498922871,0.9999333278895622,0.9998616950876928,9.645199927269911e-05,9
6.746106386184692,0.1433455049566857,7.466712872187297,0.2051805986114786,0.1,0.1,scale,rbf,"{'svr__C': 0.1, 'svr__epsilon': 0.1, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",0.44595672822471255,0.9904046105592533,-1.1585203701594406,0.09261365620817512,0.9121798573000001,23
3.911263386408488,0.6682122324039773,0.7297152678171793,0.06253118252234287,0.1,0.1,scale,linear,"{'svr__C': 0.1, 'svr__epsilon': 0.1, 'svr__gamma': 'scale', 'svr__kernel': 'linear'}",0.9999230622532846,0.9997177804897756,0.9999261483621296,0.9998556637017298,9.750629422791227e-05,11
7.62951119740804,0.5916594380409642,8.207311948140463,0.9148933702444808,0.1,0.1,auto,rbf,"{'svr__C': 0.1, 'svr__epsilon': 0.1, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",0.44595672822471244,0.9904046105592533,-1.1585203701594406,0.09261365620817504,0.9121798573000001,24
4.33462381362915,0.44395849859495545,0.7503836154937744,0.12912486615784377,0.1,0.1,auto,linear,"{'svr__C': 0.1, 'svr__epsilon': 0.1, 'svr__gamma': 'auto', 'svr__kernel': 'linear'}",0.9999230622532846,0.9997177804897756,0.9999261483621296,0.9998556637017298,9.750629422791227e-05,11
12.645356893539429,0.809071391500484,13.407589991887411,0.42965940654793705,1.0,0.01,scale,rbf,"{'svr__C': 1, 'svr__epsilon': 0.01, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",0.762496377222242,0.9957924701834306,-0.9317455775476535,0.27551442328600634,0.858958399829858,18
21.256109793980915,3.397820309474166,1.7591241995493572,0.12824318451755934,1.0,0.01,scale,linear,"{'svr__C': 1, 'svr__epsilon': 0.01, 'svr__gamma': 'scale', 'svr__kernel': 'linear'}",0.9999589511222239,0.999848384078349,0.999960520766276,0.9999226186556163,5.2495684217232817e-05,5
11.844970067342123,0.4760216409840394,11.750151554743448,0.6086200481493638,1.0,0.01,auto,rbf,"{'svr__C': 1, 'svr__epsilon': 0.01, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",0.7624963772222418,0.9957924701834306,-0.9317455775476533,0.27551442328600645,0.8589583998298578,17
21.663488467534382,4.271201359812654,1.7559541861216228,0.11639008233243762,1.0,0.01,auto,linear,"{'svr__C': 1, 'svr__epsilon': 0.01, 'svr__gamma': 'auto', 'svr__kernel': 'linear'}",0.9999589511222239,0.999848384078349,0.999960520766276,0.9999226186556163,5.2495684217232817e-05,5
5.208690245946248,0.7021254420722177,4.861993312835693,0.6938907895616812,1.0,0.1,scale,rbf,"{'svr__C': 1, 'svr__epsilon': 0.1, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",0.7473553569389069,0.995758833152539,-0.9604481489038348,0.2608886803958704,0.869549235601085,19
7.0428065458933515,1.1028631094222807,0.5437029202779134,0.1171872324537325,1.0,0.1,scale,linear,"{'svr__C': 1, 'svr__epsilon': 0.1, 'svr__gamma': 'scale', 'svr__kernel': 'linear'}",0.9999560763614734,0.9998326149957003,0.9999563388641552,0.9999150100737765,5.826221700370231e-05,7
4.992019255956014,0.5907962920852254,4.965508381525676,0.6450410842988771,1.0,0.1,auto,rbf,"{'svr__C': 1, 'svr__epsilon': 0.1, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",0.7473553569389069,0.995758833152539,-0.9604481489038348,0.2608886803958704,0.869549235601085,19
6.351782560348511,0.3864901843299243,0.5592071215311686,0.06965523987761159,1.0,0.1,auto,linear,"{'svr__C': 1, 'svr__epsilon': 0.1, 'svr__gamma': 'auto', 'svr__kernel': 'linear'}",0.9999560763614734,0.9998326149957003,0.9999563388641552,0.9999150100737765,5.826221700370231e-05,7
16.860093196233112,0.8508235036169614,10.109863996505737,0.2967794875111888,10.0,0.01,scale,rbf,"{'svr__C': 10, 'svr__epsilon': 0.01, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",0.9024595487943239,0.9974575272270211,-0.7839840255278523,0.37197768349783095,0.818307912107563,13
66.56631191571553,11.59427530617525,0.7560511430104574,0.06101775607431203,10.0,0.01,scale,linear,"{'svr__C': 10, 'svr__epsilon': 0.01, 'svr__gamma': 'scale', 'svr__kernel': 'linear'}",0.9999585113086138,0.9998680272358428,0.9999619937091877,0.9999295107512148,4.3498649598284034e-05,1
17.414298454920452,0.5711964193476904,8.958611965179443,0.6893031420154947,10.0,0.01,auto,rbf,"{'svr__C': 10, 'svr__epsilon': 0.01, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",0.9024595487943238,0.9974575272270211,-0.7839840255278521,0.37197768349783095,0.8183079121075628,13
64.1300019423167,11.66097807085814,0.7100083827972412,0.05644392775728307,10.0,0.01,auto,linear,"{'svr__C': 10, 'svr__epsilon': 0.01, 'svr__gamma': 'auto', 'svr__kernel': 'linear'}",0.9999585113086138,0.9998680272358428,0.9999619937091877,0.9999295107512148,4.3498649598284034e-05,1
6.370937347412109,0.8627282486494453,3.5945162773132324,0.21325501810572361,10.0,0.1,scale,rbf,"{'svr__C': 10, 'svr__epsilon': 0.1, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",0.882796743872787,0.9974248941293694,-0.8150539969803503,0.35505588034060204,0.8287149678712828,15
21.089370171229046,0.9190526342463339,0.31069397926330566,0.05116087879896679,10.0,0.1,scale,linear,"{'svr__C': 10, 'svr__epsilon': 0.1, 'svr__gamma': 'scale', 'svr__kernel': 'linear'}",0.9999595385509202,0.9998676456378697,0.9999605148155581,0.9999292330014494,4.355066618458967e-05,3
5.692224979400635,1.0906776506252938,3.362151622772217,0.4714617421636559,10.0,0.1,auto,rbf,"{'svr__C': 10, 'svr__epsilon': 0.1, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",0.882796743872787,0.9974248941293694,-0.8150539969803503,0.35505588034060204,0.8287149678712828,15
18.786895990371704,1.2980900521659469,0.28601964314778644,0.08170449571375402,10.0,0.1,auto,linear,"{'svr__C': 10, 'svr__epsilon': 0.1, 'svr__gamma': 'auto', 'svr__kernel': 'linear'}",0.9999595385509202,0.9998676456378697,0.9999605148155581,0.9999292330014494,4.355066618458967e-05,3
